RNUM,NATION_NM,ISIN,KOR_SECN_NM,SUM_FRSEC_BUY_AMT,SUM_FRSEC_SELL_AMT,SUM_FRSEC_TOT_AMT,SUM_FRSEC_NET_BUY_AMT,month
1,미국,US88160R1014,TESLA INC,2399870319,1460722589,3860592908,939147731,2021-01
2,미국,US0378331005,APPLE INC,1033564224,500977897,1534542121,532586327,2021-01
3,미국,US0567521085,BAIDU INC ADR,335868654,137187042,473055696,198681611,2021-01
4,미국,US1714391026,CHURCHILL CAPITAL CORP IV,333248981,209282260,542531241,123966721,2021-01
5,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,317376437,72827381,390203818,244549057,2021-01
6,미국,US00214Q1040,ARK INNOVATION ETF,267934780,102575165,370509946,165359615,2021-01
7,미국,US26853E1029,EHANG HOLDINGS LTD ADR,267564242,175563367,443127609,92000876,2021-01
8,미국,US67066G1040,NVIDIA CORP,253845347,278319705,532165052,-24474357,2021-01
9,미국,US62914V1061,NIO INC ADR,253288056,255313718,508601774,-2025662,2021-01
10,미국,US0231351067,AMAZON.COM INC,251079708,493747417,744827125,-242667709,2021-01
11,미국,US09075F1075,BIONANO GENOMICS INC,246705438,225270048,471975486,21435391,2021-01
12,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,196609420,176942816,373552237,19666604,2021-01
13,미국,KYG045611095,ARCLIGHT CLEAN TRANSITION CORP,186877588,79847258,266724846,107030329,2021-01
14,미국,US74767V1098,QUANTUMSCAPE CORP CL A EXOF 007727772 US4900732029,181677621,129051827,310729448,52625795,2021-01
15,미국,US63008G2030,NANO DIMENSION LTD ADR SPLR 006812923 US63008G1040,172262080,105781875,278043955,66480205,2021-01
16,미국,US72919P2020,PLUG POWER INC,167082009,124679102,291761112,42402907,2021-01
17,홍콩,HK0000562642,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (USD),164856342,118471336,283327679,46385006,2021-01
18,미국,KYG8252P1054,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP V CL A,155026129,69030880,224057009,85995250,2021-01
19,미국,US4642882249,ISHARES GLOBAL CLEAN ENERGY ETF,142759884,55843872,198603755,86916012,2021-01
20,미국,US00214Q3020,ARK GENOMIC REVOLUTION ETF,142394267,62347451,204741718,80046816,2021-01
21,미국,US98422D1054,XPENG INC ADR,141784776,167271539,309056316,-25486763,2021-01
22,홍콩,HK0000562659,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (HKD),141501956,104277889,245779845,37224067,2021-01
23,미국,US37954Y8553,GLOBAL X LITHIUM N BATTERY TECH ETF,140419696,53056697,193476393,87362998,2021-01
24,미국,US3743964062,GEVO INC,138595574,90463397,229058971,48132177,2021-01
25,미국,US01609W1027,ALIBABA GROUP HOLDING LTD ADR,135384288,116515198,251899486,18869089,2021-01
26,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,134014762,106398128,240412890,27616635,2021-01
27,미국,US36467W1099,GAMESTOP CORP,131432146,178135084,309567230,-46702938,2021-01
28,미국,US5949181045,MICROSOFT CORP,126071159,187052205,313123364,-60981045,2021-01
29,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,125253760,122119065,247372826,3134695,2021-01
30,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,121386994,74990898,196377892,46396096,2021-01
31,미국,US0970231058,BOEING CO,119652812,89821192,209474004,29831620,2021-01
32,미국,CH0334081137,CRISPR THERAPEUTICS AG,119065116,67515142,186580258,51549974,2021-01
33,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,113076647,123205798,236282445,-10129151,2021-01
34,미국,US8522341036,BLOCK INC CL A,107940613,77584284,185524896,30356329,2021-01
35,미국,US02079K3059,ALPHABET INC CL A,102532103,140397961,242930064,-37865858,2021-01
36,홍콩,KYG3777B1032,GEELY AUTOMOBILE HOLDINGS LTD,95166422,37102577,132269000,58063845,2021-01
37,미국,US2546871060,WALT DISNEY CO,95004904,51187719,146192623,43817185,2021-01
38,미국,US35952H6018,FUELCELL ENERGY INC SPLR 006518870 US35952H5028,94316749,92560746,186877495,1756003,2021-01
39,미국,US37045V1008,GENERAL MOTORS CO,93398937,37647238,131046175,55751698,2021-01
40,미국,US35953D1046,FUBOTV INC,92829329,74791710,167621039,18037618,2021-01
41,홍콩,HK0000123577,CHINAAMC CSI 300 INDEX ETF HKD,91443493,86176933,177620426,5266560,2021-01
42,미국,US12468P1049,C3.AI INC,89965858,69636164,159602022,20329694,2021-01
43,미국,US1912161007,THE COCA COLA COMPANY,88487004,29772439,118259443,58714564,2021-01
44,미국,US90353T1007,UBER TECHNOLOGIES INC,85950262,39647323,125597585,46302938,2021-01
45,미국,US9229077469,VANGUARD TAX EXEMPT BOND ETF,84337870,863738,85201608,83474132,2021-01
46,미국,US92259F1012,VELODYNE LIDAR INC EXOF 007603206 US3842782068,82417371,74737424,157154796,7679947,2021-01
47,미국,US00848K1016,AGEAGLE AERIAL SYSTEMS INC,81204544,63556278,144760822,17648265,2021-01
48,미국,US30231G1022,EXXON MOBIL CORP,80401741,56171195,136572936,24230546,2021-01
49,미국,US60770K1079,MODERNA INC,79620226,112611930,192232156,-32991704,2021-01
50,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,79009833,61665026,140674859,17344807,2021-01
1,미국,US88160R1014,TESLA INC,2168208737,1863778939,4031987676,304429798,2021-02
2,미국,US36467W1099,GAMESTOP CORP,1429725937,1597751235,3027477173,-168025298,2021-02
3,미국,US0378331005,APPLE INC,716733561,561601299,1278334860,155132262,2021-02
4,미국,US1714391026,CHURCHILL CAPITAL CORP IV,664935813,550799749,1215735563,114136064,2021-02
5,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,615290795,359103869,974394664,256186926,2021-02
6,미국,US00165C1045,AMC ENTERTAINMENT HOLDINGS INC,448398765,399590010,847988775,48808756,2021-02
