RNUM,NATION_NM,ISIN,KOR_SECN_NM,SUM_FRSEC_BUY_AMT,SUM_FRSEC_SELL_AMT,SUM_FRSEC_TOT_AMT,SUM_FRSEC_NET_BUY_AMT,month
25,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,64110586,47233047,111343633,16877539,2023-10
26,미국,US7561091049,REALTY INCOME CORP,63323918,25185819,88509737,38138099,2023-10
27,일본,JP3049130002,ISHARES 20+ YEAR US TREASURY BOND JPY HEDGED ETF,63201820,17165380,80367200,46036440,2023-10
28,미국,US76954A1034,RIVIAN AUTOMOTIVE INC,62272708,53826477,116099185,8446231,2023-10
29,미국,US30303M1027,META PLATFORMS INC CL A,61831720,86111997,147943717,-24280276,2023-10
30,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,60763877,40718633,101482510,20045244,2023-10
31,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,55145475,67585201,122730677,-12439726,2023-10
32,미국,US1912161007,THE COCA COLA COMPANY,54322513,23210693,77533207,31111820,2023-10
33,미국,US87978U1088,TEMPEST THERAPEUTICS INC,51735455,51666469,103401924,68986,2023-10
34,미국,US5324571083,ELI LILLY & CO,48097486,29593647,77691133,18503838,2023-10
35,미국,US0079031078,ADVANCED MICRO DEVICES INC,45284135,59830090,105114225,-14545954,2023-10
36,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,44763959,46788095,91552054,-2024135,2023-10
37,미국,US0636798235,BMO MICROSECTORS US BIG BANKS INDEX 3X LEVERAGED ETN,44602880,36305708,80908588,8297172,2023-10
38,미국,US46436E3383,ISHARES 20+ YEAR TREASURY BOND BUYWRITE,43379180,40782916,84162096,2596264,2023-10
39,미국,US06367V2043,BMO MICROSECTORS FANG INDEX 3X INVERSE LEVERAGED ETN,39718539,45208770,84927309,-5490231,2023-10
40,미국,US6701002056,NOVO NORDISK A/S ADR,34718215,27846958,62565173,6871258,2023-10
41,미국,US72919P2020,PLUG POWER INC,33065734,26442466,59508199,6623268,2023-10
42,미국,US46144X8671,AXS TSLA BEAR DAILY ETF,32991005,35538030,68529035,-2547026,2023-10
43,미국,US31447E1055,FEMASYS INC,31844470,33150943,64995412,-1306473,2023-10
44,미국,US06367V1052,BMO MICROSECTORS US BIG OIL INDEX 3X LEVERAGED ETN,30875155,27035569,57910724,3839586,2023-10
45,미국,US74347Y7711,PROSHARES TRUST II ULTRA VIX SHORT TERM FUTURES NW2023 SPLR 948539176 US74347Y8396,30177112,31061127,61238239,-884015,2023-10
46,미국,US92891H5072,VS TRUST 2X LONG VIX FUTURES ETF 2023(P/S) SPLR 951898282 US92891H4083,30064587,30115494,60180081,-50907,2023-10
47,미국,US25460G1958,DIREXION DAILY FTSE CHINA BULL 3X SHARES,29889051,26653452,56542503,3235598,2023-10
48,미국,US46432F3394,ISHARES MSCI USA QUALITY FACTOR ETF,28674094,15100767,43774861,13573327,2023-10
49,미국,US46436E7186,ISHARES 0-3 MONTH TREASURY BOND ETF,28226668,18378157,46604825,9848511,2023-10
50,미국,US25460G8490,DIREXION DAILY 20+ YEAR TREASURY BEAR 3X SHS ETF SPLR 007192853 US25459Y6784,27849871,27753707,55603578,96164,2023-10
1,미국,US88160R1014,TESLA INC,1036109955,989655683,2025765638,46454273,2023-11
2,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,774634333,1090237833,1864872166,-315603500,2023-11
3,미국,US25460G3368,DIREXION DAILY SEMICONDUCTOR BEAR 3X ETF,609156260,480964756,1090121016,128191504,2023-11
4,미국,US67066G1040,NVIDIA CORP,484704433,647901194,1132605626,-163196761,2023-11
5,미국,US74347G4322,PROSHARES ULTRAPRO SHORT QQQ ETF,454043537,372887644,826931181,81155893,2023-11
6,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,364571982,629766837,994338820,-265194855,2023-11
7,미국,US5949181045,MICROSOFT CORP,312726176,228874120,541600297,83852056,2023-11
8,미국,US25459W5408,DIREXION DAILY 20+ YEAR TREASURY BULL 3X SHS ETF,278618030,240628297,519246328,37989733,2023-11
9,미국,US74347Y7638,PROSHARES TRUST II ULTRA BLOOMBERG NTURL (R/S) SPLR 948514771 US74347Y8701,183498037,118940643,302438680,64557394,2023-11
10,미국,US46222L1089,IONQ INC,172490863,135699127,308189990,36791735,2023-11
11,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,161682748,147797867,309480615,13884881,2023-11
12,미국,US0378331005,APPLE INC,159643639,262771138,422414777,-103127499,2023-11
13,미국,US4642874329,ISHARES 20+ YEAR TREASURY BOND ETF,122771839,62054148,184825986,60717691,2023-11
14,미국,US78462F1030,SPDR SP 500 ETF TRUST,119128746,123661641,242790387,-4532895,2023-11
15,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,94552383,92601682,187154065,1950702,2023-11
16,미국,US02079K3059,ALPHABET INC CL A,91626461,99247244,190873706,-7620783,2023-11
17,미국,US0231351067,AMAZON.COM INC,87775570,138191967,225967537,-50416397,2023-11
18,일본,JP3049130002,ISHARES 20+ YEAR US TREASURY BOND JPY HEDGED ETF,87459555,28170607,115630162,59288948,2023-11
19,미국,US4642886794,ISHARES SHORT TREASURY BOND ETF,84928792,87352090,172280883,-2423298,2023-11
20,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,81354963,36629630,117984593,44725332,2023-11
21,미국,US5324571083,ELI LILLY & CO,77018989,48361797,125380786,28657193,2023-11
22,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,76431718,103370402,179802120,-26938684,2023-11
23,홍콩,HK0000123577,CHINAAMC CSI 300 INDEX ETF HKD,72881758,72691623,145573381,190134,2023-11
24,미국,US74347Y8131,PROETF ULTRASHORT BLOOMBERG NATURAL GAS,70712620,86194284,156906904,-15481664,2023-11
25,미국,US7561091049,REALTY INCOME CORP,65246405,27019019,92265424,38227386,2023-11
26,미국,US0636795348,MicroSectors FANG+ Index 3X Leveraged ETN,59647865,103172598,162820463,-43524733,2023-11
27,미국,US72919P2020,PLUG POWER INC,57449423,41280524,98729947,16168899,2023-11
28,미국,US78468R6633,SPDR BLOOMBERG 1-3 MONTH T-BILL ETF SPLR 005544852 US78464A6800,56855979,45578166,102434145,11277813,2023-11
29,미국,US0079031078,ADVANCED MICRO DEVICES INC,55892243,103014106,158906349,-47121864,2023-11
30,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,54952207,58256805,113209011,-3304598,2023-11
31,미국,US19260Q1076,COINBASE GLOBAL INC,50337309,41638466,91975775,8698843,2023-11
32,미국,US91332U1016,UNITY SOFTWARE INC,45897109,34816063,80713172,11081046,2023-11
33,미국,US88634T7090,TD YL TSL IN ETF,45243605,29070637,74314241,16172968,2023-11
34,미국,US25460G1958,DIREXION DAILY FTSE CHINA BULL 3X SHARES,44320897,41487662,85808559,2833235,2023-11
35,미국,US46436E3383,ISHARES 20+ YEAR TREASURY BOND BUYWRITE,43389658,32974227,76363884,10415431,2023-11
36,미국,US92891H5072,VS TRUST 2X LONG VIX FUTURES ETF 2023(P/S) SPLR 951898282 US92891H4083,40560293,33732037,74292330,6828256,2023-11
37,미국,US76954A1034,RIVIAN AUTOMOTIVE INC,39786896,31935060,71721955,7851836,2023-11
38,미국,US4642874576,ISHARES 1-3 YEAR TREASURY BOND ETF,37601112,37789269,75390382,-188157,2023-11
39,미국,US22266T1097,COUPANG INC,37262374,21621861,58884234,15640513,2023-11
40,미국,US30303M1027,META PLATFORMS INC CL A,35038337,62093037,97131374,-27054700,2023-11
41,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,34587304,28059209,62646513,6528095,2023-11
42,미국,US06367V2043,BMO MICROSECTORS FANG INDEX 3X INVERSE LEVERAGED ETN,33262896,26396077,59658972,6866819,2023-11
43,미국,CH0334081137,CRISPR THERAPEUTICS AG,30823002,20889261,51712263,9933741,2023-11
44,미국,US4581401001,INTEL CORP,30072503,59827167,89899670,-29754664,2023-11
45,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,28946607,58362769,87309376,-29416163,2023-11
46,미국,KYG651631007,JOBY AVIATION INC EXOF 008448244 KYG7483N1117,28674391,16103453,44777844,12570938,2023-11
47,미국,US88636J8403,DEFIANCE NSQ ETF,27708405,21213712,48922116,6494693,2023-11
48,미국,US46641Q3323,JP MORGAN EQUITY PREMIUM INCOME ETF,26757744,20379398,47137142,6378347,2023-11
49,미국,US26923N8359,T-REX 2X LONG TESLA DAILY TARGET ETF,26710663,14786300,41496964,11924363,2023-11
50,미국,US01609W1027,ALIBABA GROUP HOLDING LTD ADR,25815120,16620883,42436002,9194237,2023-11
1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,1064994615,1398281685,2463276301,-333287070,2023-12
2,미국,US88160R1014,TESLA INC,873529210,1280359103,2153888313,-406829893,2023-12
3,미국,US25460G3368,DIREXION DAILY SEMICONDUCTOR BEAR 3X ETF,691667498,630816146,1322483644,60851352,2023-12
4,미국,US25460G1388,DIREXION DAILY 20 YEAR PLUS DRX DLY 20+ YR TREAS BULL 3X SPLR 953438320 US25459W5408,451288967,434017561,885306528,17271405,2023-12
5,미국,US67066G1040,NVIDIA CORP,428049761,542431046,970480807,-114381284,2023-12
6,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,418468768,649128077,1067596846,-230659309,2023-12
7,미국,US74347G4322,PROSHARES ULTRAPRO SHORT QQQ ETF,327482050,308424820,635906870,19057230,2023-12
8,미국,US5949181045,MICROSOFT CORP,234369684,239080786,473450470,-4711102,2023-12
9,미국,US74347Y7638,PROSHARES TRUST II ULTRA BLOOMBERG NTURL (R/S) SPLR 948514771 US74347Y8701,172888423,164499259,337387681,8389164,2023-12
10,미국,US46222L1089,IONQ INC,165489813,200326828,365816641,-34837015,2023-12
11,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,161127129,171626006,332753135,-10498877,2023-12
12,미국,US0378331005,APPLE INC,156899459,557779785,714679244,-400880326,2023-12
13,미국,US02079K3059,ALPHABET INC CL A,153624212,174190274,327814486,-20566062,2023-12
14,미국,US4642874329,ISHARES 20+ YEAR TREASURY BOND ETF,153482382,140416405,293898787,13065977,2023-12
15,미국,US0079031078,ADVANCED MICRO DEVICES INC,135005646,151867509,286873155,-16861864,2023-12
16,미국,US19260Q1076,COINBASE GLOBAL INC,131312759,125536675,256849434,5776083,2023-12
17,일본,JP3049130002,ISHARES 20+ YEAR US TREASURY BOND JPY HEDGED ETF,118223640,78323652,196547292,39899989,2023-12
18,미국,US25460G1958,DIREXION DAILY FTSE CHINA BULL 3X SHARES,105048295,63769190,168817485,41279105,2023-12
19,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,104656231,129987783,234644013,-25331552,2023-12
20,미국,US7170811035,PFIZER INC,103071738,41582485,144654223,61489254,2023-12
21,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,97083858,90943419,188027277,6140440,2023-12
22,미국,US5606671072,MAISON SOLUTIONS INC,96027118,58695532,154722649,37331586,2023-12
23,미국,US74347Y8131,PROETF ULTRASHORT BLOOMBERG NATURAL GAS,92310125,92245527,184555652,64598,2023-12
24,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,90789895,49660471,140450366,41129424,2023-12
25,미국,US0231351067,AMAZON.COM INC,86059276,149685821,235745097,-63626545,2023-12
26,미국,US46436E3383,ISHARES 20+ YEAR TREASURY BOND BUYWRITE,79097989,63285266,142383254,15812723,2023-12
27,미국,US4581401001,INTEL CORP,75970665,63670939,139641604,12299725,2023-12
28,미국,US5657881067,MARATHON DIGITAL HOLDINGS INC,73652275,76801579,150453854,-3149303,2023-12
29,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,62671182,73744525,136415707,-11073343,2023-12
30,미국,US26923N8359,T-REX 2X LONG TESLA DAILY TARGET ETF,62444425,45906338,108350764,16538087,2023-12
31,미국,US0636795348,MicroSectors FANG+ Index 3X Leveraged ETN,60719379,95932498,156651876,-35213119,2023-12
32,미국,US25460G1206,DIREXION DAILY S P BIOTECH DRX DLY S P BIOTECH BULL 3X SPLR 953438701 US25490K3234,59659735,98748514,158408249,-39088779,2023-12
33,미국,US78462F1030,SPDR SP 500 ETF TRUST,58119878,63101151,121221029,-4981272,2023-12
34,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,56909288,43517461,100426749,13391827,2023-12
35,미국,US4642886794,ISHARES SHORT TREASURY BOND ETF,56419313,62553166,118972479,-6133853,2023-12
36,미국,US25459W8477,DIREXION DAILY SMALL CAP BULL 3X SHS ETF,54738970,40850140,95589110,13888830,2023-12
37,미국,US91680M1071,UPSTART HOLDINGS INC,53146643,51228966,104375609,1917677,2023-12
38,미국,US7561091049,REALTY INCOME CORP,52588159,40567345,93155504,12020815,2023-12
39,미국,US88634T7090,TD YL TSL IN ETF,49867487,37360420,87227906,12507067,2023-12
40,미국,US76954A1034,RIVIAN AUTOMOTIVE INC,46892269,73342649,120234918,-26450379,2023-12
41,미국,US91332U1016,UNITY SOFTWARE INC,45670866,71549770,117220636,-25878905,2023-12
42,미국,US30303M1027,META PLATFORMS INC CL A,40853866,73632105,114485971,-32778238,2023-12
43,미국,US25460G1537,DIREXION DAILY REGIONAL BAN DRX DLY REG BANK BULL 3X SPLR 947548282 US25460G8649,40323403,44127605,84451008,-3804202,2023-12
44,미국,US78468R6633,SPDR BLOOMBERG 1-3 MONTH T-BILL ETF SPLR 005544852 US78464A6800,37385222,31474883,68860105,5910338,2023-12
45,미국,US72919P2020,PLUG POWER INC,37100727,41069598,78170324,-3968871,2023-12
46,미국,US4642872422,ISHARES IBOXX USD INVESTMENT GRADE CORPORATE BOND ETF,36723489,1398123,38121612,35325366,2023-12
47,미국,CH0334081137,CRISPR THERAPEUTICS AG,36541675,36493559,73035234,48116,2023-12
48,미국,KYG2952X1209,E-HOME HOUSEHOLD SVC HLDGS COM USD0.20(POST REV SPLIT) SPLR 951644197 KYG2952X2033,36288624,12374050,48662674,23914573,2023-12
49,미국,US00724F1012,ADOBE INC,36053187,33522743,69575929,2530444,2023-12
50,미국,US46641Q3323,JP MORGAN EQUITY PREMIUM INCOME ETF,35233002,31232503,66465505,4000499,2023-12
