월,rank,종목,코드,외국인매수(억),월말종가,익월말종가,1M수익률(%)
2026-02,7,KODEX 200,069500,723.0098825000001,94120.0,75430.0,-19.857628559286024
2026-02,8,삼성바이오로직스,207940,240.42863,1778000.0,1504000.0,-15.410573678290218
2026-02,9,삼성물산,028260,41.46546000000006,350500.0,253500.0,-27.674750356633382
2026-02,10,신한지주,055550,-492.7144169999999,96900.0,87700.0,-9.494324045407632
2026-03,1,삼성생명,032830,2228.063455,210500.0,249500.0,18.527315914489307
2026-03,2,셀트리온,068270,2134.900058,197200.0,200500.0,1.6734279918864114
2026-03,3,SK텔레콤,017670,943.224059,76400.0,95100.0,24.47643979057592
2026-03,4,LG전자,066570,538.283168,105600.0,140900.0,33.4280303030303
2026-03,5,삼성바이오로직스,207940,177.03897999999995,1504000.0,1470000.0,-2.2606382978723416
2026-03,6,SK이노베이션,096770,160.42239100000006,108700.0,146200.0,34.49862005519779
2026-03,7,KODEX 200,069500,-598.4480594,75430.0,99905.0,32.44730213442928
2026-03,8,신한지주,055550,-633.7742370000001,87700.0,99900.0,13.91106043329533
2026-03,9,LG화학,051910,-658.902335,299000.0,397000.0,32.77591973244147
2026-03,10,포스코퓨처엠,003670,-724.6433260000001,203500.0,252000.0,23.832923832923836
2026-04,1,삼성전자,005930,13335.849489000002,220500.0,317000.0,43.764172335600904
2026-04,2,두산에너빌리티,034020,10747.728148,127100.0,105600.0,-16.91581431943352
2026-04,3,SK하이닉스,000660,8724.522170000002,1286000.0,2333000.0,81.41524105754276
2026-04,4,TIGER MSCI Korea TR,310970,6691.426512600001,43860.0,59980.0,36.753305973552216
2026-04,5,삼성SDI,006400,4770.94824,695000.0,688000.0,-1.0071942446043147
2026-04,6,삼성전자우,005935,3601.741228,158300.0,202500.0,27.921667719519895
2026-04,7,SK이노베이션,096770,3580.0188120000003,146200.0,119200.0,-18.46785225718194
2026-04,8,에이피알,278470,3428.51522,424500.0,395500.0,-6.831566548881041
2026-04,9,현대로템,064350,3427.552195,268500.0,200500.0,-25.325884543761635
2026-04,10,한미반도체,042700,3123.120605,368000.0,282000.0,-23.369565217391308
